No	Bagian	Pertanyaan	Prioritas	Jawaban
48	Reporting & Analytics	Kebutuhan migrasi BEx Query → SAC Story? (Semua / Sebagian / Tetap BEx / Belum ditentukan)	M	
49	Reporting & Analytics	Apakah ada planning/input-ready query (BPC/IP)? Jumlah?	H	
50	Reporting & Analytics	Kebutuhan Embedded Analytics langsung dari S/4HANA (tanpa BW)?	M	
51	Security & Governance	Apakah menggunakan Analysis Authorization? (Ya — jumlah? / Tidak)	H	
52	Security & Governance	Requirement row-level security? (per company code / per plant / lainnya)	H	
53	Security & Governance	Requirement data masking/anonymization? (GDPR / PDP)	M	
54	Security & Governance	Data retention policy? (Transactional: _ tahun / Master data: _ tahun / Aggregat: _ tahun)	M	
55	Security & Governance	Requirement data archiving (ILM / NLS)?	M	
56	Security & Governance	Audit/compliance requirement untuk akses data BW?	M	
57	Security & Governance	Apakah menggunakan SSO untuk akses BW?	L	
58	Tim & Timeline	Jumlah tim internal? (Basis: _ / BW Developer: _ / Functional: _ / PM: _)	H	
59	Tim & Timeline	Kebutuhan external consultant? (Sudah ada partner / Belum ada / Internal saja)	M	
60	Tim & Timeline	Target timeline? (Kick-off: _ / Development: _ / UAT: _ / Go-live: _)	H	
61	Tim & Timeline	Project lain yang berjalan paralel dan bisa impact? (ECC→S/4 migration / SF rollout / dll)	H	
62	Tim & Timeline	Downtime constraint? (max downtime / month-end freeze / dll)	M	
63	Tim & Timeline	Risiko terbesar? (Data loss / Performance / Report discrepancy / Timeline / Budget / Skill gap / Business disruption / Lainnya) — pilih max 3	H	
64	Tim & Timeline	Ada change management / training plan untuk end-user? (Ya / Belum / Tidak perlu)	M	
65	Tim & Timeline	Lesson learned dari proyek migrasi SAP sebelumnya?	L	
66	Lampiran	Export daftar DataSource aktif (RSA5/RSA6)	H	Terlampir / Menyusul / N/A
67	Lampiran	Daftar InfoProvider aktif (RSDM/RSZC)	H	Terlampir / Menyusul / N/A
68	Lampiran	Daftar Process Chain aktif	M	Terlampir / Menyusul / N/A
69	Lampiran	Daftar BEx Query aktif (RSRT usage stats)	M	Terlampir / Menyusul / N/A
70	Lampiran	SAP Readiness Check / Simplification List	H	Terlampir / Menyusul / N/A
71	Lampiran	Current system landscape diagram	M	Terlampir / Menyusul / N/A
72	Lampiran	BW Migration Cockpit report	M	Terlampir / Menyusul / N/A
